Study_ID,Título,Etapa,Critério aplicado,Decisão,Justificativa,Timestamp
9FRT2CGU,Digital Protection and Reproduction Algorithm of Intangible Cultural Heritage Using Virtual Reality Technology,,COM_PDF,Incluído,,2025-07-17 18:29:13
T6A7RCE9,Exploring the Use of Open Access Data in Smart Heritage – Using Chinatown Melbourne as a Case Study,,NO_PDF,Incluído,,2025-07-07 22:25:34
DRMHBZVY,Will Users Prefer Cultural Heritage Exhibition in Digital Twin? The Mediating Role of Perceived Authenticity under the Moderation of Individual Profiles,,NO_PDF,Incluído,,2025-07-07 22:35:30
TI367JUF,Research on the Application of Intelligent Virtual Reality Technology in Museum Exhibitions and Evaluation of the Experience,,COM_PDF,Incluído,,2025-07-17 18:30:32
RWFN37I5,Augmented Reality Immersion in Cultural Heritage Sites: Analyzing Adoption Intentions,,NO_PDF,Incluído,,2025-07-07 22:20:25
U7TFSMTK,Intelligent Heritage Data Platforms in Monitoring of World Heritage Sites,,NO_PDF,Incluído,,2025-07-07 22:28:00
46Q2K8ZF,SUSTAINABLE COMPETITIVE ADVANTAGE IN HERITAGE TOURISM: LEVERAGING CULTURAL LEGACY IN A DATA-DRIVEN WORLD,,SEM APLICACAO,Excluído,,2025-07-05 19:28:39
8E96IZZE,Inheriting cultural heritage: the application of virtual reality technology in the display of Peking Opera costumes,,COM_PDF,Incluído,,2025-07-17 18:29:50
6YPJQPY5,Dissemination of Intangible Cultural Heritage Based on Digital Twin Technology,,NO_PDF,Incluído,,2025-07-07 22:24:41
VCGCNXNR,Innovative Approaches to Heritage Preservation: Augmented Reality and Islamic Architecture in Egypt,,COM_PDF,Incluído,,2025-07-17 18:29:52
YRW8HFX5,Facilitating Daily Practice in Intangible Cultural Heritage through Virtual Reality: A Case Study of Traditional Chinese Flower Arrangement,,SEM APLICACAO,Excluído,,2025-07-06 19:54:57
8GV5JFXB,"Exploring Design Aspects of Online Museums: From Cultural Heritage to Art, Science and Fashion",,COM_PDF,Incluído,,2025-07-17 18:29:28
VR74K53W,Design and realization of the digital protection platform of traditional intangible cultural heritage based on virtual reality technology,,COM_PDF,Incluído,,2025-07-17 18:29:03
CM5966EK,Decentring in more-than-human design: A provocation on spatial justice and urban conflict in Palestine,,SEM APLICACAO,Excluído,,2025-07-06 20:01:22
7NMHCVKV,An Augmented Environment for the Valorization of Heritage: An Experience Proposed by the MOdE,,SEM TEXTO,Excluído,,2025-07-05 01:36:23
UXWESGPQ,Enhancing Informal Learning at Cultural Heritage Sites Through Mobile Augmented Reality: A Case Study of Macao Mandarin’s House,,NO_PDF,Incluído,,2025-07-07 22:24:59
DIM3SPYM,Revolutionizing Structural Health Monitoring and Preserving Cultural Heritage via Digital Twins,,IRRELEVANTE,Excluído,,2025-07-05 19:34:16
2TCMZ58X,"2024 IEEE International Workshop on Metrology for Living Environment, MetroLivEnv 2024 - Proceedings",,SEM TEXTO,Excluído,,2025-07-05 01:19:16
RUZ7DPLD,Inside Out – Outside In: Exploring Indoor–Outdoor Indirect Augmented Reality Positioning in Cultural Heritage,,NO_PDF,Incluído,,2025-07-07 22:27:42
K765M82N,OPEN CABINET: Critically contextualising contested heritage through augmented reality,,NO_PDF,Incluído,,2025-07-07 22:28:54
BE23HGLD,Digital Twins at the City and Town Scale: Europe and Beyond,,SEM APLICACAO,Excluído,,2025-07-06 19:58:32
E83UB62D,A Framework for the Definition of Built Heritage Digital Twins,,SEM TEXTO,Excluído,,2025-07-05 01:25:40
8KX2UZ8C,Cultural Heritage in The Digital Age: Evaluating User Experience in Virtual Reality Cultural Heritage Learning Application,,NO_PDF,Incluído,,2025-07-07 22:22:01
XAN4YFPC,An authoring platform for developing smart apps which elevate cultural heritage experiences: A system dynamics approach in gamification,,IRRELEVANTE,Excluído,,2025-07-06 20:39:59
GRUWQG4B,The Protection of Historical Sites along the Grand Canal Based on 3D Digital Imaging Technique,,NO_PDF,Incluído,,2025-07-07 22:31:41
2CDTJCP7,Cross-cultural contextualisation for recommender systems,,IRRELEVANTE,Excluído,,2025-07-06 20:03:13
5SDQHRZZ,"Practical Heritage Conservation in Cities in North Rhine-Westphalia: Legal Framework and a Practical Example from the Church Square of St Stephanus in Beckum, District of Warendorf (Westphalia)",,SEM APLICACAO,Excluído,,2025-07-05 19:38:20
JQDMGTPL,Design Principles for Food Heritage Digital Twins,,NO_PDF,Incluído,,2025-07-07 22:23:39
9VEPMXKP,Industry 4.0 in tourism and cultural heritage and impacts on tourist behavior,,NO_PDF,Incluído,,2025-07-07 22:27:11
44TVQBJ3,Factors influencing success of virtual reality in Tunisia’s cultural heritage tourism sites: a UTAUT2 approach extension,,COM_PDF,Incluído,,2025-07-17 18:29:30
YY246D5V,"Impact of Virtual Reality on Cultural Heritages: Development of Mobile VR Tour of the Museum Site of Chandigarh, India",,NO_PDF,Incluído,,2025-07-07 22:26:26
FM8X5XVM,"Immersive Living Museum with Augmented Reality Technology, integrated Traditional Art and Digital Art to Enhance Historical Knowledge and Learning Attraction",,NO_PDF; COM_PDF,Incluído,,2025-07-17 18:29:45
W246ZSFW,Enhancing Tangible Cultural Heritage Preservation through Virtual Reality: A Case Study of Watu Gong Sites in Indonesia,,NO_PDF,Incluído,,2025-07-07 22:25:08
S32W4EKA,Harmonizing Tradition and Innovation: Advances in Chinese-Culture-Based Antennas and Sensors,,IRRELEVANTE,Excluído,,2025-07-06 19:52:35
HAEENRU5,The monitoring of cultural heritage sites using digital twins,,NO_PDF,Incluído,,2025-07-07 22:31:24
83RD4VQG,Cultural heritage digital twin: modeling and representing the visual narrative in Leonardo Da Vinci’s Mona Lisa,,COM_PDF,Incluído,,2025-07-17 18:28:55
CQQ6DRKT,Advancing Augmented Reality at World Heritage Sites through an Affordance Lens: A Case Study of the Archaeological Ruins of Liangzhu City,,SEM TEXTO,Excluído,,2025-07-05 01:35:01
JKP9NH8M,Application of Graph Neural Network in Matching Intangible Cultural Heritage Models with Virtual Reality Scenes,,COM_PDF,Incluído,,2025-07-17 18:27:06
QWED2V66,Exploring the potential of augmented reality in applying and experiencing intangible cultural heritage: A systematic review,,NO_PDF,Incluído,,2025-07-07 22:25:25
XLILRQ5M,"Exploring Local Heritage, Virtual Reality, and English Speaking Needs to Develop World Heritage Tourism: The Case of Ombilin Coal Mining Heritage of Sawahlunto (OCMHS), Indonesia",,IRRELEVANTE,Excluído,,2025-07-06 19:55:54
N2PECZ5B,3D modelling and virtual reality for museum heritage presentation: Contextualisation of sculpture from the tang era,,COM_PDF,Incluído,,2025-07-17 18:26:30
WB9HSFFY,Reimagining Lost Scenes: Street View Scene Reconstruction via Multi-View Hand-Drawn-Sketches,,SEM APLICACAO,Excluído,,2025-07-05 19:36:12
SXKRPU6N,Revitalizing Cultural Heritage Through Augmented Reality: Lessons from the Ashoka Pillar,,NO_PDF,Incluído,,2025-07-07 22:29:32
VRZYBEL4,China’s exploration and experience in digital twinning of tangible cultural heritage,,IRRELEVANTE,Excluído,,2025-07-06 20:04:23
ZV4SKWVZ,Cultural Heritage Protection and Application Development Based on Augmented Reality: Taking the Cultural Heritage of Primitive Villages in Changbai Mountain as an Example,,NO_PDF,Incluído,,2025-07-07 22:22:40
BEIJBDCK,Research on the Learning Effect of Non-Heritage Culture Based on the Application of AR/VR Technology,,IRRELEVANTE,Excluído,,2025-07-05 19:35:15
R76JQSRE,Developing digital Islamic heritage sites in Jordan: The case of al-Mafraq,,NO_PDF,Incluído,,2025-07-07 22:23:50
BQLP9YJB,Application of Virtual Reality Technology in the Digital Inheritance of Intangible Cultural Heritage,,NO_PDF,Incluído,,2025-07-07 22:19:07
99GQLCR7,Safar: Heuristics for Augmented Reality Integration in Cultural Heritage,,NO_PDF,Incluído,,2025-07-07 22:29:50
R43T4K5V,A knowledge representation framework for managing Leonardo Da Vinci’s Mona Lisa: case study of the hidden painting,,SEM TEXTO,Excluído,,2025-07-05 01:26:18
8MT8CEPH,Intelligent Reality in the Field of Cultural Heritage,,NO_PDF,Incluído,,2025-07-07 22:28:17
BBRIPNSQ,Chances and Limitations of Immersive Augmented Reality for Game-Based Learning in Museums,,IRRELEVANTE,Excluído,,2025-07-06 20:04:27
TNWVUB67,"7th International Extended Reality Conference, XR 2022",,SEM TEXTO,Excluído,,2025-07-05 01:18:44
2GEI2CFT,Augmented reality and virtual reality in cultural heritage tourism enhancing visitor experiences,,NO_PDF,Incluído,,2025-07-07 22:19:36
X3PMPWJK,"Various Innovative Technological Experiences, VITE I",,SEM APLICACAO,Excluído,,2025-07-05 19:13:01
G444EWMM,Intangible Cultural Heritage Based Augmented Reality Mobile Learning: Application Development and Heuristics Evaluation,,NO_PDF,Incluído,,2025-07-07 22:27:49
8K7SBCQX,Augmented Reality for Cultural Heritage,,NO_PDF,Incluído,,2025-07-07 22:20:12
4YA6DSK4,An acceptance model of digital education in intangible cultural heritage based on cultural awareness,,SEM TEXTO,Excluído,,2025-07-05 01:35:54
AN3RS4QG,"The New Communication Network for an Internet of Things/Everything Based Security/Safety/General Management/Visitor's Services Integrated System of the Pompeii Archeological Park, Italy",,NO_PDF,Incluído,,2025-07-07 22:31:32
E94H5IN6,Design of Digital Display Platform for Intangible Cultural Heritage Based on VR Intelligent Technology,,NO_PDF,Incluído,,2025-07-07 22:23:22
WWSWMW43,Creating Virtual Reality Stories for Cultural Heritage Through Student Contest,,NO_PDF,Incluído,,2025-07-17 18:28:50
554UGE72,Proposed Website Architecture with Embedded Augmented Reality to Discover Cultural Heritage,,NO_PDF,Incluído,,2025-07-07 22:29:12
6RQUAQJ4,Augmented Reality (AR) for Urban Cultural Heritage Interpretation: A User Experience Evaluation,,IRRELEVANTE,Excluído,,2025-07-06 20:06:47
8NV2EABG,"8th International XR-Metaverse Conference, XR 2023",,SEM TEXTO,Excluído,,2025-07-05 01:19:06
JMPNAE47,Design of China's intangible cultural heritage inheritance and protection system based on intelligent media technology,,NO_PDF,Incluído,,2025-07-07 22:23:09
WDTFGNRG,"6th Experiment at International Conference, exp.at 2023 - Proceedings",,SEM TEXTO,Excluído,,2025-07-05 01:18:38
9LU2NPQQ,"Location-Based Augmented Reality for Cultural Heritage Education: Creating Educational, Gamified Location-Based AR Applications for the Prehistoric Lake Settlement of Dispilio",,COM_PDF,Incluído,,2025-07-17 18:30:18
TAKGZ6KJ,Heritage Preservation with Virtual Reality (VR): Recreating the Lost Glory of the Medieval Metropolis of Mandu,,NO_PDF,Incluído,,2025-07-07 22:25:44
NX6RB4DH,"IAI4CH 2024 - Proceedings of the 3rd Workshop on Artificial Intelligence for Cultural Heritage, co-located with the 23rd International Conference of the Italian Association for Artificial Intelligence, AIxIA 2024",,SEM APLICACAO,Excluído,,2025-07-06 19:50:56
PK5PW2NU,The Accessibility of Cultural Heritage. A New Perspective Between Relational Gaze and the Philosophy of Gesture,,SEM APLICACAO,Excluído,,2025-07-05 19:27:21
WUBR4XG6,Smart Solutions for Heritage Sites: Florence and Yazd,,NO_PDF,Incluído,,2025-07-07 22:30:21
77688HBI,Digital Twin and Cultural Heritage – The Future of Society Built on History and Art,,NO_PDF,Incluído,,2025-07-07 22:24:30
NE87CRMF,Toward a Digital Twin for Cultural Heritage,,NO_PDF,Incluído,,2025-07-17 18:31:45
SPJ3FUNU,Virtual Museum Design in Sustainable Cultural Heritage: A Literature Review,,NO_PDF,Incluído,,2025-07-07 22:33:59
DL9W488X,Inclusive Smart Museums: Engaging Neurodiverse Audiences and Enhancing Cultural Heritage,,NO_PDF,Incluído,,2025-07-07 22:26:54
4X45MNEY,Empowering Digital Transformation in Tourism through Intelligent Methods for Representation and Exploitation of Cultural Heritage Knowledge,,NO_PDF,Incluído,,2025-07-07 22:24:50
RZ4AB5US,INTEGRATING HERITAGE PRESERVATION AND CITY DEVELOPMENT: A Design Framework for Digital Interactive System Based on Augmented Reality for the World Cultural Heritage Grand Canal,,COM_PDF,Incluído,,2025-07-17 18:30:10
LCXX72S7,Immersive Virtual Reality for Cultural Heritage Exploration,,COM_PDF,Incluído,,2025-07-17 18:29:46
DBA37SCH,A bibliometric review of studies on the application of augmented reality to cultural heritage by using biblioshiny and citespace,,SEM TEXTO,Excluído,,2025-07-05 01:20:01
5UXCRBEC,"8th International Conference on Digital Arts, Media and Technology and 6th ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunications Engineering, ECTI DAMT and NCON 2023",,SEM TEXTO,Excluído,,2025-07-05 01:19:01
LFTPUTA2,Implementation and Application of Intangible Cultural Heritage Virtual Interactive System Based on Knowledge Graph,,NO_PDF,Incluído,,2025-07-07 22:26:36
9G46BSS8,Retraction: Digital immersive interactive experience design of museum cultural heritage based on virtual reality technology (SPIE and IS&T (2022) 32:1 (011208) DOI: 10.1117/1.JEI.32.1.011208),,RETRATADO,Excluído,,2025-07-05 19:34:42
N87JWD76,Digital Transformation of Cultural Heritage for Various Museum Applications,,NO_PDF,Incluído,,2025-07-07 22:24:12
CTQBHSAI,The Application of Digital Virtual Images in the Protection and Dissemination of Cultural Heritage,,NO_PDF,Incluído,,2025-07-17 18:31:04
4ZGP24RL,AR Sightseeing: Comparing Information Placements at Outdoor Historical Heritage Sites using Augmented Reality,,SEM APLICACAO,Excluído,,2025-07-06 20:07:21
FITFCQAZ,Decentralized Framework for Cultural Heritage Conservation using Blockchain,,NO_PDF,Incluído,,2025-07-07 22:22:59
BDH8NRRF,Learning Media Innovation about Keris Cultural Heritage through Augmented Reality,,NO_PDF,Incluído,,2025-07-07 22:28:35
YJG8KZPX,Personalized healthcare museum exhibition system design based on VR and deep learning driven multimedia and multimodal sensing,,NO_PDF,Incluído,,2025-07-07 22:29:02
2H92HAVY,AI-Assisted Virtual Reality for Cultural Heritage Education: The Experience of the MARTA Museum,,SEM TEXTO,Excluído,,2025-07-05 01:35:20
PTQJWTKS,Design of Virtual Cultural Tourism Platform Based on Concept of Metauniverse,,NO_PDF,Incluído,,2025-07-07 22:23:30
KXLZ2SQA,Virtual Reality Environments for Heritage Education: a Systematic Review,,SEM TEXTO,Excluído,,2025-07-06 20:11:41
9CRJZUX2,Cultural Tangibles and Intangibles and Disaster Challenges: Narratives from Varanasi,,IRRELEVANTE,Excluído,,2025-07-06 20:01:37
WI28DHY5,"Using Digital Twins for Architectural Heritages: Empirical Study in Andong City, Korea",,NO_PDF,Incluído,,2025-07-07 22:32:59
JSKCPI53,A Mobile Application Presenting Hidden Architectural Heritage Sites in Augmented Reality,,SEM TEXTO,Excluído,,2025-07-05 01:27:09
59GGDYAF,Virtual Heritage Learning Environments,,NO_PDF,Incluído,,2025-07-07 22:33:46
BQTK9P6B,WEB-BASED THREE-DIMENSIONAL AUGMENTED REALITY OF DIGITAL HERITAGE FOR NIGHTTIME EXPERIENCE,,COM_PDF,Incluído,,2025-07-17 18:32:02
ZWXNB6L5,Virtual Reality for Cultural Heritage: New Levels of Computer-Generated Simulation of a Unesco World Heritage Site,,NO_PDF,Incluído,,2025-07-07 22:34:17
GFSTSELY,"Proceedings - SIGGRAPH Asia 2021 XR, SA 2021",,SEM APLICACAO,Excluído,,2025-07-05 19:37:15
4CNRZLZP,"Proceedings - 2021 IEEE International Conference on Intelligent Reality, ICIR 2021",,SEM APLICACAO,Excluído,,2025-07-05 19:37:17
HCQUDR54,Vr as (in)tangible representation of cultural heritage. scientific visualization and virtual reality of the doric temple of punta stilo: Interference ancient-modern,,NO_PDF,Incluído,,2025-07-07 22:34:46
MAME8LCF,NEW REALITIES FOR NEW MUSEUM EXPERIENCES: Virtual and Augmented Realities for Difficult Heritage in Iraq,,NO_PDF,Incluído,,2025-07-07 22:28:46
GGRWLH5Z,Visual Cues for Cultural Heritage Urban Navigation with Smart Glasses,,NO_PDF,Incluído,,2025-07-07 22:34:37
JZUL77M9,Humanism and the Great Opportunity of Intelligent User Interfaces for Cultural Heritage,,COM_PDF,Incluído,,2025-07-17 18:29:42
