,Título,Resultado_central
0,Digital Protection and Reproduction Algorithm of Intangible Cultural Heritage Using Virtual Reality Technology,O artigo propõe um algoritmo de proteção e reprodução digital de patrimônio cultural imaterial usando tecnologia de realidade virtual.
1,Research on the Application of Intelligent Virtual Reality Technology in Museum Exhibitions and Evaluation of the Experience,O principal resultado do artigo foi a melhoria da experiência do visitante em exposições de museus através da aplicação da tecnologia de realidade virtual inteligente.
2,Inheriting cultural heritage: the application of virtual reality technology in the display of Peking Opera costumes,"O uso da tecnologia de realidade virtual na exibição de trajes de ópera de Pequim permite uma experiência imersiva e interativa, preservando e promovendo o patrimônio cultural."
5,Design and realization of the digital protection platform of traditional intangible cultural heritage based on virtual reality technology,"O artigo descreve a criação de uma plataforma de proteção digital para patrimônios culturais imateriais tradicionais, utilizando tecnologia de realidade virtual."
7,"Immersive Living Museum with Augmented Reality Technology, integrated Traditional Art and Digital Art to Enhance Historical Knowledge and Learning Attraction",O artigo demonstra que a integração de tecnologia de realidade aumentada em museus vivos pode aumentar o conhecimento histórico e atrair mais interesse dos visitantes.
8,Cultural heritage digital twin: modeling and representing the visual narrative in Leonardo Da Vinci’s Mona Lisa,"O artigo propõe um modelo de gêmeo digital do patrimônio cultural da Mona Lisa de Leonardo Da Vinci, permitindo a representação da narrativa visual da obra de arte de forma interativa e imersiva."
12,INTEGRATING HERITAGE PRESERVATION AND CITY DEVELOPMENT: A Design Framework for Digital Interactive System Based on Augmented Reality for the World Cultural Heritage Grand Canal,"O artigo propõe um framework de design para um sistema digital interativo baseado em realidade aumentada para preservação do Patrimônio Mundial do Grande Canal, integrando preservação do patrimônio e desenvolvimento urbano."
14,WEB-BASED THREE-DIMENSIONAL AUGMENTED REALITY OF DIGITAL HERITAGE FOR NIGHTTIME EXPERIENCE,"O artigo apresenta uma plataforma web de realidade aumentada tridimensional para experiências noturnas de patrimônio digital, permitindo aos usuários explorar e interagir com o patrimônio cultural de forma imersiva."
16,"3D City modelling toward conservation and management. The digital documentation of museu do ipiranga - USP, San paulo, Brazil","O artigo apresenta a modelagem 3D da cidade para a conservação e gestão do Museu do Ipiranga, permitindo uma documentação digital detalhada do local."
17,Virtual Heritage: A Guide,O principal resultado do artigo é fornecer um guia abrangente sobre o uso de tecnologias de realidade virtual no campo do patrimônio cultural.
