,Título,Resultado_central
0,Digital Protection and Reproduction Algorithm of Intangible Cultural Heritage Using Virtual Reality Technology,O artigo propõe um algoritmo de proteção e reprodução digital de patrimônio cultural imaterial usando tecnologia de realidade virtual.
2,Inheriting cultural heritage: the application of virtual reality technology in the display of Peking Opera costumes,"O uso da tecnologia de realidade virtual na exibição de trajes de ópera de Pequim permite uma experiência imersiva e interativa, preservando e promovendo o patrimônio cultural."
3,Innovative Approaches to Heritage Preservation: Augmented Reality and Islamic Architecture in Egypt,"O artigo destaca a eficácia da realidade aumentada na preservação do patrimônio cultural islâmico no Egito, permitindo uma experiência imersiva e interativa para os visitantes."
4,"Exploring Design Aspects of Online Museums: From Cultural Heritage to Art, Science and Fashion","O artigo explora os aspectos de design de museus online, destacando a importância da experiência do usuário e da acessibilidade para promover a preservação e divulgação da cultura, arte, ciência e moda."
5,Design and realization of the digital protection platform of traditional intangible cultural heritage based on virtual reality technology,"O artigo descreve a criação de uma plataforma de proteção digital para patrimônios culturais imateriais tradicionais, utilizando tecnologia de realidade virtual."
6,Factors influencing success of virtual reality in Tunisia’s cultural heritage tourism sites: a UTAUT2 approach extension,"O estudo identificou que a facilidade de uso, a experiência do usuário e a influência social são os principais fatores que influenciam o sucesso da realidade virtual nos locais de turismo cultural da Tunísia."
7,"Immersive Living Museum with Augmented Reality Technology, integrated Traditional Art and Digital Art to Enhance Historical Knowledge and Learning Attraction",O artigo demonstra que a integração de tecnologia de realidade aumentada em museus vivos pode aumentar o conhecimento histórico e atrair mais interesse dos visitantes.
8,Cultural heritage digital twin: modeling and representing the visual narrative in Leonardo Da Vinci’s Mona Lisa,"O artigo propõe um modelo de gêmeo digital do patrimônio cultural da Mona Lisa de Leonardo Da Vinci, permitindo a representação da narrativa visual da obra de arte de forma interativa e imersiva."
9,Application of Graph Neural Network in Matching Intangible Cultural Heritage Models with Virtual Reality Scenes,O artigo propõe uma abordagem inovadora para combinar modelos de Patrimônio Cultural Imaterial com cenas de Realidade Virtual usando Redes Neurais de Grafos.
10,3D modelling and virtual reality for museum heritage presentation: Contextualisation of sculpture from the tang era,"O artigo demonstra que a modelagem 3D e a realidade virtual podem ser utilizadas de forma eficaz na apresentação de patrimônio cultural em museus, permitindo uma contextualização mais imersiva e interativa das esculturas da era Tang."
