,Título,Resultado_central
38,The Socio-Technical System Framework for Maintaining the Smart Heritage of Chengdu’s Historical and Cultural Villages,"O artigo propõe um framework socio-técnico para preservar o patrimônio cultural e histórico das vilas de Chengdu, promovendo a sustentabilidade e a integração da tecnologia inteligente."
56,Joint Development of Cultural Heritage Protection and Tourism: The Case of Mount Lushan Cultural Landscape Heritage Site,O artigo destaca a importância da colaboração entre proteção do patrimônio cultural e turismo para garantir a sustentabilidade e preservação do local de patrimônio cultural de Mount Lushan.
59,Technologies for the Preservation of Cultural Heritage—A Systematic Review of the Literature,"O artigo apresenta uma revisão sistemática da literatura sobre tecnologias utilizadas na preservação do patrimônio cultural, destacando a importância dessas ferramentas para a conservação e documentação de artefatos históricos."
64,"Mapping the Knowledge Structure of Image Recognition in Cultural Heritage: A Scientometric Analysis Using CiteSpace, VOSviewer, and Bibliometrix","O artigo mapeou a estrutura do conhecimento em reconhecimento de imagem em patrimônio cultural, identificando tendências, temas e colaborações na área."
84,Building Information Modelling (BIM) Driven Sustainable Cultural Heritage Tourism,O artigo destaca a importância do uso do Building Information Modelling (BIM) para impulsionar o turismo sustentável em locais de patrimônio cultural.
88,"A Prototype That Fuses Virtual Reality, Robots, and Social Networks to Create a New Cyber–Physical–Social Eco-Society System for Cultural Heritage","O artigo apresenta um protótipo que combina realidade virtual, robôs e redes sociais para criar um novo sistema eco-social ciberfísico para o patrimônio cultural."
118,Unlocking Sustainable Tourism: A Holistic Examination of Mobile Applications’ Impact and Evolution in Travel Experiences (2013-2023),"O artigo destaca o impacto positivo das aplicações móveis no turismo sustentável, melhorando a experiência de viagem e promovendo práticas mais responsáveis."
121,Artificial Intelligence-Based Sustainable Development of Smart Heritage Tourism,"O artigo propõe um modelo de inteligência artificial para o desenvolvimento sustentável do turismo em locais históricos, visando melhorar a experiência do visitante e preservar o patrimônio cultural."
122,Effectiveness of Usage of Digital Heritage in the Sustainability of Cultural Tourism on Islands: The Case of Northern Cyprus,"O uso de patrimônio digital aumentou a sustentabilidade do turismo cultural em ilhas, como no caso de Chipre do Norte, melhorando a experiência do visitante e preservando a herança cultural."
126,A Virtual Assistant for Natural Interactions in Museums,"O artigo apresenta uma assistente virtual capaz de interagir de forma natural com visitantes de museus, melhorando a experiência do usuário e facilitando a interação com as exposições."
