Temática,Título,Resultado_central
educação,"Location-Based Augmented Reality for Cultural Heritage Education: Creating Educational, Gamified Location-Based AR Applications for the Prehistoric Lake Settlement of Dispilio","O artigo demonstra a eficácia do uso de Realidade Aumentada baseada em localização para a educação em patrimônio cultural, criando experiências educacionais e gamificadas para o assentamento lacustre pré-histórico de Dispilio."
educação,Historical sentient – Building information model: A digital twin for the management of museum collections in historical architectures,"O artigo propõe a utilização de um modelo de informação de construção (BIM) como um ""gêmeo digital"" para a gestão de coleções de museus em arquiteturas históricas, permitindo uma melhor preservação e documentação das peças."
educação,Varanasi—The Making of a Smart Heritage City,O artigo destaca o sucesso de Varanasi em se tornar uma cidade inteligente e preservar seu patrimônio cultural.
educação,A Smart Heritage System to Re-Generate New Zealand’s 19th Century Timber Churches,"O artigo propõe um sistema inteligente para regenerar igrejas de madeira do século XIX na Nova Zelândia, preservando seu patrimônio histórico e cultural."
educação,Potential of Hbim to Improve the Efficiency of Visitor Flow Management in Heritage Sites. Towards Smart Heritage Management,"O uso do modelo de informação de edifícios históricos (Hbim) pode melhorar a eficiência na gestão do fluxo de visitantes em locais de patrimônio, contribuindo para uma gestão inteligente do patrimônio."
engajamento,The Application and Exploration of Data Visualization Technology in Artistic Expression and Exhibition,"O artigo destaca a aplicação bem-sucedida da tecnologia de visualização de dados na expressão artística e na exposição, permitindo uma nova forma de interação e engajamento do público."
inovação,Cultural Control Room: CETRA Addresses and Exploits the IoT to Innovate Cultural Heritage Promotion,O artigo apresenta o desenvolvimento de uma sala de controle cultural que utiliza a Internet das Coisas (IoT) para promover e inovar a promoção do patrimônio cultural.
acessibilidade,"Exploring Design Aspects of Online Museums: From Cultural Heritage to Art, Science and Fashion","O artigo explora os aspectos de design de museus online, destacando a importância da experiência do usuário e da acessibilidade para promover a preservação e divulgação da cultura, arte, ciência e moda."
acessibilidade,An Internet of Things Approach for Cultural Heritage Enhancement,O artigo propõe uma abordagem de Internet das Coisas para melhorar a preservação e acessibilidade do patrimônio cultural.
acessibilidade,Spatial Distribution Characteristics and Accessibility Analysis in the Weibei Imperial Mausoleum Protection Zone Under the Hierarchical Clustering Algorithm,"O estudo identificou padrões de distribuição espacial e acessibilidade no complexo de proteção da Mausoléu Imperial de Weibei, utilizando o algoritmo de agrupamento hierárquico."
acessibilidade,Enhanced Inclusion Through Advanced Immersion in Cultural Heritage: A Holistic Framework in Virtual Museology,"O artigo propõe um framework holístico para a inclusão avançada na herança cultural por meio de imersão virtual, visando promover uma experiência mais acessível e enriquecedora para todos os públicos."
acessibilidade,Analyzing the Impact of Cultural Accessibility and ICT Infrastructure on Economic Growth in Kazakhstan,O estudo mostrou que a acessibilidade cultural e a infraestrutura de TIC têm um impacto positivo no crescimento econômico do Cazaquistão.
