Temática,Título,Resultado_central,Tecnologia,País/Cidade,Ano
governança,Cultural Heritage Management From Traditional Methods to Digital Systems: A Review From Bim to Digital Twin,"O artigo discute a transição de métodos tradicionais para sistemas digitais na gestão do patrimônio cultural, destacando a importância da tecnologia BIM e Digital Twin.","BIM, Digital Twin",Global,2024
governança,An Open Geospatial Database as a Tool for Geoheritage Management at National Scale: The Case Study of Greece,"O artigo destaca a importância de um banco de dados geoespacial aberto para a gestão do geoconservação em escala nacional, utilizando a Grécia como estudo de caso.",Banco de dados geoespaciais.,Grécia.,2024
governança,Historical sentient – Building information model: A digital twin for the management of museum collections in historical architectures,"O artigo propõe a utilização de um modelo de informação de construção (BIM) como um ""gêmeo digital"" para a gestão de coleções de museus em arquiteturas históricas, permitindo uma melhor preservação e documentação das peças.","Building Information Model (BIM), Digital Twin",Global,2020
governança,"Towards Developing the Smart Cultural Heritage Management of the French Colonial Villas in Hanoi, Vietnam","O artigo propõe um modelo de gestão inteligente para preservar e promover o patrimônio cultural das vilas coloniais francesas em Hanói, Vietnã.","IoT, Realidade Aumentada, IA","Hanoi, Vietnam.",2021
governança,Vrea Project - A Digital Curator for Architecture and Digital Perspectives for Heritage Management and Enhancement,"O principal resultado do artigo é a criação do Vrea Project, um curador digital para arquitetura que visa melhorar a gestão e valorização do patrimônio histórico.","IA, Realidade Aumentada",Global,2023
governança,A Cloud Computing Platform to Support Digital Heritage Application Using a Service-Oriented Approach,"O artigo apresenta uma plataforma de computação em nuvem que suporta aplicações de patrimônio digital usando uma abordagem orientada a serviços, facilitando o acesso e a gestão de recursos digitais.","Computação em nuvem, Arquitetura orientada a serviços.",Global,2020
governança,Smart Heritage Practice and Its Characteristics Based on Architectural Heritage Conservation—A Case Study of the Management Platform of the Shanghai Federation of Literary and Art Circles China,"O artigo destaca a importância da prática inteligente do patrimônio cultural na conservação arquitetônica, exemplificada pelo estudo de caso da plataforma de gestão da Federação de Círculos Literários e Artísticos de Xangai, na China.","Realidade Aumentada, Plataforma de Gerenciamento.",China,2023
governança,Urban Heritage Facility Management: A Scoping Review,O artigo destaca a importância da gestão de instalações do patrimônio urbano para a preservação e valorização desses espaços históricos.,"Gestão de instalações, Tecnologia da informação, Sistemas de informação, Tecnologia de sensoriamento remoto.",Global,2021
governança,Intangible Cultural Heritage Management and Protection Based on Spatial Information Technology Under the Background of Internet of Things,O artigo destaca a importância da tecnologia de informação espacial e da Internet das Coisas para a gestão e proteção do patrimônio cultural imaterial.,"Spatial Information Technology, Internet of Things",Global,2022
governança,Towards a Climate‐smart Cultural Heritage Management,"O artigo destaca a importância de integrar práticas de gestão do patrimônio cultural com estratégias de adaptação às mudanças climáticas, visando a preservação e sustentabilidade do patrimônio cultural em face dos desafios climáticos.","Inteligência Artificial, Internet das Coisas (IoT)",Global,2023
sustentabilidade,"Unpacking the ‘15-Minute City’ via 6G, IoT, and Digital Twins: Towards a New Narrative for Increasing Urban Efficiency, Resilience, and Sustainability","O artigo propõe a integração de tecnologias como 6G, IoT e Digital Twins para promover eficiência, resiliência e sustentabilidade nas cidades, seguindo o conceito da 'cidade dos 15 minutos'.","6G, IoT, Digital Twins",Global,2022
sustentabilidade,Building Information Modelling (BIM) Driven Sustainable Cultural Heritage Tourism,O artigo destaca a importância do uso do Building Information Modelling (BIM) para impulsionar o turismo sustentável em locais de patrimônio cultural.,BIM,Global,2023
sustentabilidade,A Systematic Literature Review on the Use of Big Data for Sustainable Tourism,"O artigo destaca a importância do uso de big data para impulsionar práticas sustentáveis no setor do turismo, fornecendo insights valiosos para a tomada de decisões estratégicas.",Big Data,Global,2021
sustentabilidade,Analyzing the Impact of Cultural Accessibility and ICT Infrastructure on Economic Growth in Kazakhstan,O estudo mostrou que a acessibilidade cultural e a infraestrutura de TIC têm um impacto positivo no crescimento econômico do Cazaquistão.,ICT (Tecnologia da Informação e Comunicação),Cazaquistão,2024
sustentabilidade,Unlocking Sustainable Tourism: A Holistic Examination of Mobile Applications’ Impact and Evolution in Travel Experiences (2013-2023),"O artigo destaca o impacto positivo das aplicações móveis no turismo sustentável, melhorando a experiência de viagem e promovendo práticas mais responsáveis.","Mobile Applications, IoT, Artificial Intelligence",Global,2024
sustentabilidade,"Mapping the Knowledge Structure of Image Recognition in Cultural Heritage: A Scientometric Analysis Using CiteSpace, VOSviewer, and Bibliometrix","O artigo mapeou a estrutura do conhecimento em reconhecimento de imagem em patrimônio cultural, identificando tendências, temas e colaborações na área.","CiteSpace, VOSviewer, Bibliometrix",Global,2024
sustentabilidade,Adapting to the Digital Wave: Tour Guides’ Role Perception and Technological Integration in the Cultural Ecosystem,O estudo revelou que os guias turísticos estão se adaptando às tecnologias digitais para melhorar a experiência dos visitantes e sua própria eficiência no setor cultural.,"Inteligência Artificial, Realidade Aumentada, Aplicativos móveis.",Global,2024
sustentabilidade,"A Prototype That Fuses Virtual Reality, Robots, and Social Networks to Create a New Cyber–Physical–Social Eco-Society System for Cultural Heritage","O artigo apresenta um protótipo que combina realidade virtual, robôs e redes sociais para criar um novo sistema eco-social ciberfísico para o patrimônio cultural.","Realidade Virtual, Robótica, Redes Sociais.",Global,2020
sustentabilidade,Mapping the Nexus Between Sustainability and Digitalization in Tourist Destinations: A Bibliometric Analysis,"O artigo identifica a interseção entre sustentabilidade e digitalização em destinos turísticos, destacando a importância de estratégias digitais para promover práticas sustentáveis na indústria do turismo.","Digitalização, Sustentabilidade, Turismo, Análise Bibliométrica.",Global,2023
sustentabilidade,Smart Cultural Heritage : Strategi Wujudkan Kelestarian Budaya Di Era Smart City Terintegrasi Augemented Reality Melalui Platform Mojangki.id,"O principal resultado do artigo é a implementação de estratégias para preservar o patrimônio cultural por meio da integração da realidade aumentada na plataforma Mojangki.id, visando a sustentabilidade cultural na era das cidades inteligentes.","Realidade Aumentada, Plataforma Mojangki.id.",Indonésia,2024
engajamento,The Effectiveness of Digital Technologies Used for the Visitor’s Experience in Digital Museums. A Systematic Literature Review From the Last Two Decades,"O artigo destaca que as tecnologias digitais utilizadas em museus digitais têm sido eficazes em melhorar a experiência dos visitantes, proporcionando interatividade, personalização e acesso a informações adicionais.","Realidade Aumentada, Realidade Virtual, Aplicativos móveis, Sistemas de informação, Interfaces interativas.",Global,2022
engajamento,Influence Mechanisms of Museums’ Technological Embodiment and Tourist Satisfaction,"O estudo identificou que a incorporação de tecnologias nos museus influencia positivamente a satisfação dos turistas, principalmente através da interatividade e da personalização da experiência.","Realidade Aumentada, Tecnologia da Informação, Tecnologia Móvel.",Global,2025
engajamento,The Application and Exploration of Data Visualization Technology in Artistic Expression and Exhibition,"O artigo destaca a aplicação bem-sucedida da tecnologia de visualização de dados na expressão artística e na exposição, permitindo uma nova forma de interação e engajamento do público.","Visualização de dados, Tecnologia de Exibição, Arte Digital",Global,2024
engajamento,Enhanced Inclusion Through Advanced Immersion in Cultural Heritage: A Holistic Framework in Virtual Museology,"O artigo propõe um framework holístico para a inclusão avançada na herança cultural por meio de imersão virtual, visando promover uma experiência mais acessível e enriquecedora para todos os públicos.","Realidade Virtual, Realidade Aumentada, Inteligência Artificial, Tecnologia de Imersão.",Global,2024
descolonialidade,"Towards Developing the Smart Cultural Heritage Management of the French Colonial Villas in Hanoi, Vietnam","O artigo propõe um modelo de gestão inteligente para preservar e promover o patrimônio cultural das vilas coloniais francesas em Hanói, Vietnã.","IoT, Realidade Aumentada, IA","Hanoi, Vietnam.",2021
justiça territorial,A Cloud Computing Platform to Support Digital Heritage Application Using a Service-Oriented Approach,"O artigo apresenta uma plataforma de computação em nuvem que suporta aplicações de patrimônio digital usando uma abordagem orientada a serviços, facilitando o acesso e a gestão de recursos digitais.","Computação em nuvem, Arquitetura orientada a serviços.",Global,2020
justiça territorial,MAGIC: Manuscripts of Girolamini in Cloud,"O principal resultado do artigo é a digitalização e disponibilização online de manuscritos da Biblioteca dei Girolamini em Nápoles, permitindo o acesso a um vasto acervo histórico de forma mais acessível e preservando esses documentos para futuras gerações.","Computação em nuvem, digitalização, processamento de imagem.",Itália,2020
justiça territorial,Systematic Literature Review of the Digital Transformation of Cultural Heritage Assets During the COVID-19 Pandemic,"O artigo destaca a importância da transformação digital de ativos de patrimônio cultural durante a pandemia de COVID-19, visando a preservação e acesso a esses recursos de forma remota.","Digitalização, Realidade Virtual, Realidade Aumentada, Inteligência Artificial",Global,2023
justiça territorial,Smart Heritage Preservation: Design and Implementation of an Internet of Things (IoT)-Enabled Image Information Management System for Yuan Dynasty Taoist Murals in Shanxi,"O artigo apresenta um sistema de gerenciamento de informações de imagens habilitado para Internet das Coisas (IoT) para preservação de murais taoístas da dinastia Yuan em Shanxi, facilitando a conservação e acesso a essas obras de arte históricas.","IoT, Gerenciamento de Informações de Imagem.",China,2024
justiça territorial,Using Modern Information and Communication Technologies to Support the Access to Cultural Values,O artigo destaca a importância das tecnologias de informação e comunicação modernas para facilitar o acesso e preservação dos valores culturais.,"Tecnologias principais: Realidade Aumentada, Aplicativos móveis, Plataformas de mídia social, Tecnologias de informação e comunicação.",Global,2020
justiça territorial,Demystifying the Use of Open-Access Data in Smart Heritage Implementations,O artigo destaca a importância e benefícios do uso de dados de acesso aberto em implementações de patrimônio inteligente.,"Open-Access Data, Smart Heritage",Global,2024
justiça territorial,"Cultural Heritage Information Retrieval: Past, Present, and Future Trends","O artigo apresenta uma revisão abrangente sobre as tendências passadas, presentes e futuras na recuperação de informações sobre patrimônio cultural, destacando a importância da preservação e acesso a essas informações para a sociedade.",Recuperação de Informações sobre Patrimônio Cultural.,Global,2024
justiça territorial,The Effectiveness of Digital Technologies Used for the Visitor’s Experience in Digital Museums. A Systematic Literature Review From the Last Two Decades,"O artigo destaca que as tecnologias digitais utilizadas em museus digitais têm sido eficazes em melhorar a experiência dos visitantes, proporcionando interatividade, personalização e acesso a informações adicionais.","Realidade Aumentada, Realidade Virtual, Aplicativos móveis, Sistemas de informação, Interfaces interativas.",Global,2022
inovação,Cultural Control Room: CETRA Addresses and Exploits the IoT to Innovate Cultural Heritage Promotion,O artigo apresenta o desenvolvimento de uma sala de controle cultural que utiliza a Internet das Coisas (IoT) para promover e inovar a promoção do patrimônio cultural.,IoT,Global,2020
inovação,Phygital as a Lever for Value Propositions in Italian Cultural Tourism Startups,O artigo destaca que a integração de experiências físicas e digitais (phygital) é uma estratégia eficaz para aumentar o valor das propostas de valor em startups de turismo cultural na Itália.,"Realidade Aumentada, Internet das Coisas (IoT), Inteligência Artificial (IA)",Itália,2024
acessibilidade,Spatial Distribution Characteristics and Accessibility Analysis in the Weibei Imperial Mausoleum Protection Zone Under the Hierarchical Clustering Algorithm,"O estudo identificou padrões de distribuição espacial e acessibilidade no complexo de proteção da Mausoléu Imperial de Weibei, utilizando o algoritmo de agrupamento hierárquico.",Algoritmo de Agrupamento Hierárquico.,China,2025
acessibilidade,Analyzing the Impact of Cultural Accessibility and ICT Infrastructure on Economic Growth in Kazakhstan,O estudo mostrou que a acessibilidade cultural e a infraestrutura de TIC têm um impacto positivo no crescimento econômico do Cazaquistão.,ICT (Tecnologia da Informação e Comunicação),Cazaquistão,2024
acessibilidade,An Internet of Things Approach for Cultural Heritage Enhancement,O artigo propõe uma abordagem de Internet das Coisas para melhorar a preservação e acessibilidade do patrimônio cultural.,Internet das Coisas (IoT),Global,2022
acessibilidade,Enhanced Inclusion Through Advanced Immersion in Cultural Heritage: A Holistic Framework in Virtual Museology,"O artigo propõe um framework holístico para a inclusão avançada na herança cultural por meio de imersão virtual, visando promover uma experiência mais acessível e enriquecedora para todos os públicos.","Realidade Virtual, Realidade Aumentada, Inteligência Artificial, Tecnologia de Imersão.",Global,2024
acessibilidade,Human-Centered Artificial Intelligence for Designing Accessible Cultural Heritage,O artigo destaca a importância da inteligência artificial centrada no ser humano para tornar o patrimônio cultural mais acessível para pessoas com deficiência.,"Inteligência Artificial, Acessibilidade, Design centrado no ser humano.",Global,2021
acessibilidade,"Exploring Design Aspects of Online Museums: From Cultural Heritage to Art, Science and Fashion","O artigo explora os aspectos de design de museus online, destacando a importância da experiência do usuário e da acessibilidade para promover a preservação e divulgação da cultura, arte, ciência e moda.","Realidade Aumentada, Design de Interfaces, Museus Online, Experiência do Usuário.",Global,2025
memória,Digital Transmission of Intangible Cultural Heritage Based on Empirical Modal Analysis in a Multicultural Perspective,"O artigo propõe uma abordagem inovadora para a transmissão digital do patrimônio cultural imaterial, utilizando a Análise Modal Empírica.","Análise Modal Empírica, Transmissão Digital, Patrimônio Cultural Intangível.",Global,2023
memória,Building Information Modelling (BIM) Driven Sustainable Cultural Heritage Tourism,O artigo destaca a importância do uso do Building Information Modelling (BIM) para impulsionar o turismo sustentável em locais de patrimônio cultural.,BIM,Global,2023
memória,A BIM-Based Model for Structural Health Monitoring of the Central Body of the Monserrate Palace: A First Approach,"O artigo propõe um modelo baseado em BIM para monitoramento da saúde estrutural do corpo central do Palácio de Monserrate, permitindo uma abordagem mais eficiente e precisa para a manutenção e conservação do patrimônio histórico.",BIM,Portugal,2023
memória,Cultural Heritage in Smart City Environments: The Update,O artigo destaca a importância da integração do patrimônio cultural nas cidades inteligentes para promover o desenvolvimento sustentável e a preservação da identidade cultural.,"IoT, Realidade Aumentada, IA, Big Data, Machine Learning.",Global,2020
memória,Site Experience Enhancement and Perspective in Cultural Heritage Fruition—A Survey on New Technologies and Methodologies Based on a “Four-Pillars” Approach,"O artigo destaca a importância da melhoria da experiência do usuário em sites de patrimônio cultural, utilizando novas tecnologias e metodologias para promover uma fruição mais enriquecedora e envolvente.","Realidade Aumentada, Realidade Virtual, Internet das Coisas (IoT), Inteligência Artificial (IA)",Global,2021
memória,A Study on the Construction and Utilization of Korean Prehistoric Remains Database,"O artigo apresenta a criação de um banco de dados de restos pré-históricos coreanos, facilitando a pesquisa e preservação desses vestígios arqueológicos.","Banco de dados, Tecnologia da Informação, Arqueologia Digital.",Coreia do Sul,2022
memória,Cultural Control Room: CETRA Addresses and Exploits the IoT to Innovate Cultural Heritage Promotion,O artigo apresenta o desenvolvimento de uma sala de controle cultural que utiliza a Internet das Coisas (IoT) para promover e inovar a promoção do patrimônio cultural.,IoT,Global,2020
memória,"A Systematic Literature Review of Gamification in/for Cultural Heritage: Leveling Up, Going Beyond","O artigo destaca a importância da gamificação no contexto do patrimônio cultural, mostrando como ela pode ser uma ferramenta eficaz para engajar o público e promover a interação com o patrimônio cultural de forma inovadora.",Gamificação,Global,2023
memória,Web-Gis Approach to Preventive Conservation of Heritage Buildings,"O principal resultado do artigo é a implementação de uma abordagem Web-GIS para a conservação preventiva de edifícios históricos, permitindo uma gestão mais eficiente e eficaz do patrimônio cultural.",Web-GIS,Global,2020
memória,From 3D Point Cloud to an Intelligent Model Set for Cultural Heritage Conservation,"O artigo propõe um método para converter nuvens de pontos 3D em modelos inteligentes para conservação de patrimônio cultural, permitindo uma análise mais detalhada e precisa das estruturas.","Processamento de nuvem de pontos 3D, Modelagem inteligente, Conservação de patrimônio cultural.",Global,2024
