"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9FRT2CGU","journalArticle","2024","Guo, W.; Fu, G.","Digital Protection and Reproduction Algorithm of Intangible Cultural Heritage Using Virtual Reality Technology","Computer-Aided Design and Applications","","","10.14733/cadaps.2024.S28.56-68","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199345592&doi=10.14733%2fcadaps.2024.S28.56-68&partnerID=40&md5=40a2eeef1410ffc6bcdd5f5578f64526","","2024","2025-07-05 00:08:32","2025-07-17 18:29:13","","56-68","","S28","21","","","","","","","","","","","","","Scopus","","","","","","C:\Users\jaber\Zotero\storage\QLHWFM42\Guo e Fu - 2024 - Digital Protection and Reproduction Algorithm of Intangible Cultural Heritage Using Virtual Reality.pdf","","INCLUIR; COM_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T6A7RCE9","conferencePaper","2025","Geng, S.; Chau, H.-W.; Jamei, E.; Vrcelj, Z.","Exploring the Use of Open Access Data in Smart Heritage – Using Chinatown Melbourne as a Case Study","","","","10.1007/978-981-96-4051-5_81","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003624686&doi=10.1007%2f978-981-96-4051-5_81&partnerID=40&md5=5b5edeaeb60b8be10573cec7acdf8a95","","2025","2025-07-05 00:08:32","2025-07-07 22:25:34","","842-848","","","591 LNCE","","","","","","","","","","","","","Scopus","","","","","","","","INCLUIR; NO_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lecture Notes in Civil Engineering","","","","","","","","","","","","","","",""
"DRMHBZVY","journalArticle","2024","Zhao, L.; Wang, L.; Yu, F.; Zhao, Y.; Wang, Y.","Will Users Prefer Cultural Heritage Exhibition in Digital Twin? The Mediating Role of Perceived Authenticity under the Moderation of Individual Profiles","Proceedings of the Association for Information Science and Technology","","","10.1002/pra2.1084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206684192&doi=10.1002%2fpra2.1084&partnerID=40&md5=50462ff78a25b5b2b19fd948ea8ed0d3","","2024","2025-07-05 00:08:32","2025-07-07 22:35:30","","709-714","","1","61","","","","","","","","","","","","","Scopus","","","","","","","","INCLUIR; NO_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TI367JUF","conferencePaper","2024","Li, H.; Luo, S.","Research on the Application of Intelligent Virtual Reality Technology in Museum Exhibitions and Evaluation of the Experience","","","","10.3233/FAIA241092","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217089704&doi=10.3233%2fFAIA241092&partnerID=40&md5=d54b3e7b938d74e3d32f57471eeca199","","2024","2025-07-05 00:08:32","2025-07-17 18:30:32","","106-114","","","391","","","","","","","","","","","","","Scopus","","","","","","C:\Users\jaber\Zotero\storage\EA2FIE4F\Li e Luo - 2024 - Research on the Application of Intelligent Virtual Reality Technology in Museum Exhibitions and Eval.pdf","","INCLUIR; COM_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Frontiers in Artificial Intelligence and Applications","","","","","","","","","","","","","","",""
"RWFN37I5","conferencePaper","2024","Hanji, S.V.; Hungund, S.; Hanji, S.S.; Desai, S.; Tapashetti, R.B.","Augmented Reality Immersion in Cultural Heritage Sites: Analyzing Adoption Intentions","","","","10.1007/978-3-031-50192-0_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180624855&doi=10.1007%2f978-3-031-50192-0_8&partnerID=40&md5=78e82ece2b250f487c46d20e4aab2057","","2024","2025-07-05 00:08:32","2025-07-07 22:20:25","","81-91","","","698 AICT","","","","","","","","","","","","","Scopus","","","","","","","","INCLUIR; NO_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IFIP Advances in Information and Communication Technology","","","","","","","","","","","","","","",""
"U7TFSMTK","conferencePaper","2025","Hatami, M.; Koramaz, T.K.","Intelligent Heritage Data Platforms in Monitoring of World Heritage Sites","","","","10.1007/978-3-031-76894-1_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008278050&doi=10.1007%2f978-3-031-76894-1_1&partnerID=40&md5=3ecc49b869a89a23d85dc64fd500b90e","","2025","2025-07-05 00:08:33","2025-07-07 22:28:00","","3-11","","","","","","","","","","","","","","","","Scopus","","","","","","","","INCLUIR; NO_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Advances in Science, Technology and Innovation","","","","","","","","","","","","","","",""
"46Q2K8ZF","journalArticle","2024","Nag, A.; Mishra, S.","SUSTAINABLE COMPETITIVE ADVANTAGE IN HERITAGE TOURISM: LEVERAGING CULTURAL LEGACY IN A DATA-DRIVEN WORLD","Review of Management Literature","","","10.1108/S2754-586520240000003008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205973200&doi=10.1108%2fS2754-586520240000003008&partnerID=40&md5=5b06affe88ea960fa93704d785134e23","","2024","2025-07-05 00:08:33","2025-07-05 19:28:39","","137-162","","","3","","","","","","","","","","","","","Scopus","","","","","","","","SEM APLICACAO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8E96IZZE","journalArticle","2025","Su, Z.","Inheriting cultural heritage: the application of virtual reality technology in the display of Peking Opera costumes","IEEE Access","","","10.1109/ACCESS.2025.3572446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006720476&doi=10.1109%2fACCESS.2025.3572446&partnerID=40&md5=e8fc46a2bb07734b2f5d63d01d973d3f","","2025","2025-07-05 00:08:33","2025-07-17 18:29:50","","","","","","","","","","","","","","","","","","Scopus","","","","","","C:\Users\jaber\Zotero\storage\ZJMWL5A5\Su - 2025 - Inheriting cultural heritage the application of virtual reality technology in the display of Peking.pdf","","INCLUIR; COM_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6YPJQPY5","conferencePaper","2024","Wen, Y.; Xu, K.","Dissemination of Intangible Cultural Heritage Based on Digital Twin Technology","","","","10.1109/CoST64302.2024.00027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205809406&doi=10.1109%2fCoST64302.2024.00027&partnerID=40&md5=20a350bca739ae364dcaca0c22fbda66","","2024","2025-07-05 00:08:33","2025-07-07 22:24:41","","94-98","","","","","","","","","","","","","","","","Scopus","","","","","","","","INCLUIR; NO_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings - 2024 International Conference on Culture-Oriented Science and Technology, CoST 2024","","","","","","","","","","","","","","",""
"VCGCNXNR","journalArticle","2025","Abd Elnaby, F.M.Z.; Soliman, R.E.","Innovative Approaches to Heritage Preservation: Augmented Reality and Islamic Architecture in Egypt","Civil Engineering and Architecture","","","10.13189/cea.2025.131325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007759628&doi=10.13189%2fcea.2025.131325&partnerID=40&md5=6036ba959075391136cadcf34ee7f16f","","2025","2025-07-05 00:08:33","2025-07-17 18:29:52","","2531-2547","","3","13","","","","","","","","","","","","","Scopus","","","","","","C:\Users\jaber\Zotero\storage\CCIZ5A97\Abd Elnaby e Soliman - 2025 - Innovative Approaches to Heritage Preservation Augmented Reality and Islamic Architecture in Egypt.pdf","","INCLUIR; COM_PDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
