Tecnologia,Impacto_Institucional,Impacto_Visitante,Impacto_Cultural
"6G, IoT, Digital Twins",0,0,0
Algoritmo de Agrupamento Hierárquico.,0,0,0
"Análise Modal Empírica, Transmissão Digital, Patrimônio Cultural Intangível.",0,0,1
BIM,0,0,1
"BIM, Digital Twin",1,0,1
"BIM, Digital Twins, IA",0,0,0
"BIM, Realidade Aumentada, Modelagem 3D",0,0,0
"BIM, Realidade Virtual",0,0,0
Banco de dados geoespaciais.,1,0,0
"Banco de dados, Tecnologia da Informação, Arqueologia Digital.",0,0,0
Big Data,0,0,0
"Big Data, Data Lake, Cultural Heritage Domain, Multi-Faceted Analytics",0,0,1
Blockchain,0,0,1
"Blockchain, Cultural Heritage Preservation",0,0,1
"Blockchain, Internet of Things",0,0,0
"Blockchain, IoT",0,0,1
"Building Information Model (BIM), Digital Twin",1,0,0
"CiteSpace, VOSviewer, Bibliometrix",0,0,1
"Computação de dados, Inteligência Artificial, Processamento de Imagem, Visão Computacional.",0,0,1
"Computação em nuvem, Arquitetura orientada a serviços.",1,0,0
"Computação em nuvem, IoT, Sensores, Big Data.",1,0,0
"Computação em nuvem, digitalização, processamento de imagem.",0,0,0
Conservação e restauração de monumentos históricos.,0,0,0
"Crowdsourcing, Inteligência Artificial, Colaboração Online, Visualização de Dados.",0,0,1
"Design centrado no usuário, Metodologia de desenvolvimento de software ágil.",0,1,1
"Digital Twin, IoT, Realidade Aumentada, IA",1,0,0
"Digital Twin, Realidade Virtual, Inteligência Artificial, Processamento de Áudio.",0,1,0
"Digital Twins, IoT, Artificial Intelligence, Augmented Reality, 3D Scanning, Building Information Modeling (BIM)",0,0,0
"Digital Twins, Realidade Aumentada, Internet das Coisas (IoT), Inteligência Artificial (IA)",0,1,1
"Digitalização 3D, Machine Learning, Visão Computacional, Modelagem de Informação da Construção (BIM), Realidade Virtual.",0,0,1
Digitalização de patrimônio cultural.,0,0,1
"Digitalização, Realidade Aumentada, Inteligência Artificial, Machine Learning, Blockchain.",0,0,1
"Digitalização, Realidade Virtual, Aplicativos móveis, Geolocalização.",0,1,1
"Digitalização, Realidade Virtual, Realidade Aumentada, Inteligência Artificial",0,0,1
"Digitalização, Sustentabilidade, Turismo, Análise Bibliométrica.",0,0,0
"Digitização, Inteligência Artificial, Big Data, Realidade Virtual, Internet das Coisas (IoT)",0,1,0
Gamificação,0,0,1
Genetic Algorithms-Based Method,0,0,0
"Geo-Dashboard Development, Tecnologias de Geolocalização, Big Data, Análise de Dados, Visualização de Dados.",1,0,0
